id,title,content,category,keywords
CS011,CPU 구조,"CPU는 컴퓨터의 중앙 처리 장치로, 제어 장치(CU)와 산술 논리 장치(ALU)로 구성됩니다. 제어 장치는 명령어 해석 및 실행을 제어하고, ALU는 산술 및 논리 연산을 수행합니다. 레지스터는 CPU 내부의 임시 저장소로, 명령어 레지스터(IR), 프로그램 카운터(PC), 누산기(AC) 등이 있습니다. CPU 성능은 클럭 속도, 코어 수, 캐시 크기 등에 영향을 받습니다.",컴퓨터 구조,"CPU,ALU,제어 장치,레지스터,클럭 속도"
CS012,메모리 계층 구조,"메모리 계층 구조는 속도, 용량, 비용을 고려한 다중 레벨 저장 시스템입니다. 최상위에는 레지스터, 캐시(L1, L2, L3), 주 메모리(RAM), 디스크, 테이프 순으로 배치됩니다. 상위 계층은 빠르지만 비용이 높고 용량이 작으며, 하위로 갈수록 용량은 커지고 속도는 느려집니다. 지역성 원리(시간적, 공간적)를 활용해 성능을 향상시킵니다.",컴퓨터 구조,"메모리 계층,캐시,RAM,지역성,Virtual Memory"
CS013,명령어 파이프라이닝,"명령어 파이프라이닝은 CPU가 명령어를 병렬로 처리하는 기술입니다. 명령어 실행 과정을 여러 단계(Fetch-Decode-Execute-Writeback)로 나누고, 각 단계를 동시에 실행합니다. 파이프라인 단계 수가 n이면 이론적으로 처리량은 n배 증가합니다. 데이터 의존성, 제어 의존성, 구조적 의존성으로 인한 해저드가 발생할 수 있으며, 이를 해결하기 위해 전방향, 지연 슬롯, 예측 기법 등을 사용합니다.",컴퓨터 구조,"파이프라이닝,명령어 처리,해저드,처리량,CPU 성능"
CS014,캐시 메모리,"캐시 메모리는 CPU와 주 메모리 사이의 고속 버퍼 메모리로, 자주 사용되는 데이터와 명령어를 저장합니다. 계층 구조(L1, L2, L3)로 배치되며, L1은 CPU에 가장 가깝고 빠릅니다. 캐시 적중(hit)은 요청된 데이터가 캐시에 있는 경우, 실패(miss)는 주 메모리에서 가져와야 하는 경우입니다. 교체 정책(LRU, FIFO, Random 등)은 캐시가 가득 차면 어떤 데이터를 제거할지 결정합니다. 쓰기 정책으로는 Write Through, Write Back이 있습니다.",컴퓨터 구조,"캐시,적중률,실패율,교체 정책,쓰기 정책"
CS015,RISC vs CISC,"RISC(Reduced Instruction Set Computer)와 CISC(Complex Instruction Set Computer)는 CPU 설계 철학입니다. RISC는 단순하고 빠른 명령어 집합을 가지며, 고정 길이 명령어, 레지스터 중심 연산, 파이프라이닝 최적화가 특징입니다. CISC는 복잡하고 강력한 명령어를 제공하며, 가변 길이 명령어, 메모리 중심 연산, 적은 코드 크기가 장점입니다. ARM은 RISC의 대표적 예이고, x86은 CISC의 대표적 예입니다.",컴퓨터 구조,"RISC,CISC,명령어 집합,ARM,x86"
CS016,가상 메모리,"가상 메모리는 물리적 메모리 크기의 제약을 극복하는 기술로, 프로그램에게 실제 메모리보다 큰 주소 공간을 제공합니다. 페이징과 세그먼테이션 기법을 사용하며, 필요한 부분만 메모리에 로드하고 나머지는 디스크에 저장합니다. 페이지 테이블은 가상 주소를 물리 주소로 변환하며, TLB(Translation Lookaside Buffer)가 변환 속도를 향상시킵니다. 페이지 교체 알고리즘(LRU, FIFO 등)은 새 페이지를 위해 어떤 페이지를 디스크로 보낼지 결정합니다.",컴퓨터 구조,"가상 메모리,페이징,스왑,페이지 교체,TLB"
CS017,폰 노이만 구조,"폰 노이만 구조는 현대 컴퓨터의 기본 구조로, 명령어와 데이터를 같은 메모리에 저장하고 순차적으로 실행합니다. 주요 구성 요소는 CPU, 메모리, 입출력 장치, 버스입니다. 프로그램 내장식 개념을 도입하여 컴퓨터가 다양한 작업을 수행할 수 있게 했습니다. 폰 노이만 병목 현상은 메모리와 CPU 사이의 데이터 전송 제한으로 인한 성능 제약을 의미합니다. 하버드 구조는 명령어와 데이터 메모리를 분리하여 이 문제를 해결하려 합니다.",컴퓨터 구조,"폰 노이만,프로그램 내장식,메모리,CPU,하버드 구조"
CS018,버스 구조,"버스는 컴퓨터 내부의 여러 구성 요소 간 데이터 전송 경로입니다. 데이터 버스는 양방향으로 데이터를 전송하고, 주소 버스는 메모리 주소를 전송하며, 제어 버스는 제어 신호를 전달합니다. 버스 대역폭은 초당 전송 가능한 데이터 양을 나타내며, 버스 클럭은 전송 타이밍을 결정합니다. PCIe, USB, SATA 등 다양한 외부 버스 표준이 있습니다. 버스 아비트레이션은 여러 장치가 동시에 버스 사용을 요청할 때 우선순위를 결정하는 과정입니다.",컴퓨터 구조,"버스,데이터 버스,주소 버스,제어 버스,대역폭"
CS019,부동소수점 표현,"부동소수점은 컴퓨터에서 실수를 표현하는 표준 방식으로, IEEE 754가 가장 널리 사용됩니다. 부호, 지수, 가수 부분으로 구성되며, 32비트 단정밀도(float)와 64비트 배정밀도(double)가 일반적입니다. 규격화된 표현은 가수의 첫 비트가 항상 1인 형태이며, 특수값으로 무한대, NaN(Not a Number)이 있습니다. 반올림 오차, 언더플로우, 오버플로우 등의 문제가 발생할 수 있으며, 이로 인해 부동소수점 연산은 항상 근사값을 계산합니다.",컴퓨터 구조,"부동소수점,IEEE 754,정밀도,지수,가수"
CS020,병렬 컴퓨팅,"병렬 컴퓨팅은 여러 계산을 동시에 수행하여 성능을 향상시키는 방식입니다. 비트 수준, 명령어 수준, 데이터 수준, 태스크 수준 병렬성이 있습니다. SIMD(Single Instruction Multiple Data)는 하나의 명령어로 여러 데이터를 처리하고, MIMD(Multiple Instruction Multiple Data)는 여러 명령어로 여러 데이터를 동시에 처리합니다. 암달의 법칙은 병렬화로 얻을 수 있는 최대 속도 향상이 직렬 부분에 의해 제한됨을 나타냅니다. 동기화, 교착 상태, 부하 균형은 병렬 처리의 주요 과제입니다.",컴퓨터 구조,"병렬 처리,SIMD,MIMD,암달의 법칙,멀티코어"
CS021,인터럽트 처리,"인터럽트는 CPU에게 즉각적인 주의가 필요한 이벤트를 알리는 신호입니다. 하드웨어 인터럽트(외부 장치), 소프트웨어 인터럽트(트랩, 시스템 콜), NMI(Non-Maskable Interrupt) 등이 있습니다. 인터럽트 처리 과정은 현재 상태 저장, 인터럽트 핸들러 실행, 상태 복원으로 이루어집니다. 인터럽트 벡터 테이블은 각 인터럽트 유형에 대한 핸들러 주소를 저장합니다. 인터럽트 우선순위와 마스킹은 여러 인터럽트가 동시에 발생했을 때 처리 순서를 결정합니다.",컴퓨터 구조,"인터럽트,핸들러,벡터 테이블,우선순위,시스템 콜"
CS022,DMA(Direct Memory Access),"DMA는 CPU 개입 없이 주변 장치와 메모리 간 데이터 전송을 가능하게 하는 기술입니다. CPU가 초기 설정만 수행한 후, DMA 컨트롤러가 전송을 담당하므로 CPU 부하가 감소합니다. 전송 완료 후 인터럽트로 CPU에 알립니다. 사이클 스틸링은 CPU와 DMA가 메모리 버스를 공유할 때, DMA가 CPU 사이클을 '훔치는' 방식입니다. 버스트 모드는 대량의 데이터를 연속적으로 전송합니다. 네트워크 카드, 디스크 컨트롤러 등이 DMA를 활용합니다.",컴퓨터 구조,"DMA,메모리 전송,사이클 스틸링,버스트 모드,인터럽트"
CS023,어셈블리 언어,"어셈블리 언어는 기계어와 일대일 대응되는 저수준 프로그래밍 언어입니다. 니모닉(mov, add 등)을 사용하여 CPU 명령어를 표현하며, 레지스터, 메모리 주소, 즉시 값을 피연산자로 사용합니다. 어셈블러는 어셈블리 코드를 기계어로 변환합니다. 각 CPU 아키텍처(x86, ARM 등)마다 고유한 어셈블리 언어를 가집니다. 레이블, 매크로, 조건부 어셈블리 등의 기능을 제공합니다. 시스템 프로그래밍, 임베디드 시스템, 최적화가 필요한 영역에서 사용됩니다.",컴퓨터 구조,"어셈블리,니모닉,레지스터,어셈블러,기계어"
CS024,RAID 시스템,"RAID(Redundant Array of Independent Disks)는 여러 디스크를 하나의 논리적 단위로 결합하는 기술입니다. 주요 목적은 데이터 안정성 향상과 성능 증가입니다. RAID 0(스트라이핑)은 성능 향상에 중점을 두고, RAID 1(미러링)은 데이터 복제로 안정성을 높입니다. RAID 5는 패리티 정보를 분산 저장하여 공간 효율성과 안정성을 균형 있게 제공하고, RAID 6은 이중 패리티로 더 높은 안정성을 보장합니다. RAID 10은 미러링과 스트라이핑을 결합하여 성능과 안정성을 모두 제공합니다.",컴퓨터 구조,"RAID,스트라이핑,미러링,패리티,데이터 복구"
CS025,디스크 스케줄링,"디스크 스케줄링은 효율적인 디스크 접근을 위해 요청 순서를 조정하는 기법입니다. FCFS(First-Come-First-Served)는 요청 순서대로 처리하고, SSTF(Shortest Seek Time First)는 현재 위치에서 가장 가까운 요청을 먼저 처리합니다. SCAN(엘리베이터 알고리즘)은 한 방향으로 끝까지 이동 후 반대 방향으로 전환하며, C-SCAN은 한쪽 끝에 도달하면 반대쪽 끝으로 바로 이동합니다. LOOK과 C-LOOK은 SCAN과 C-SCAN의 변형으로, 요청이 있는 곳까지만 이동합니다. 각 알고리즘은 성능, 공정성, 기아 상태 방지 측면에서 장단점이 있습니다.",컴퓨터 구조,"디스크 스케줄링,FCFS,SSTF,SCAN,탐색 시간"
CS026,캐시 일관성 프로토콜,"캐시 일관성 프로토콜은 멀티프로세서 시스템에서 여러 프로세서의 캐시가 일관된 데이터를 유지하도록 보장합니다. MESI(Modified, Exclusive, Shared, Invalid) 프로토콜은 각 캐시 라인의 상태를 표시하는 가장 일반적인 방식입니다. 스누핑은 모든 캐시 컨트롤러가 버스를 모니터링하여 일관성을 유지하는 방식이고, 디렉토리 기반 프로토콜은 중앙 디렉토리가 각 메모리 블록의 상태를 추적합니다. 쓰기 무효화는 한 프로세서가 데이터를 수정할 때 다른 프로세서의 해당 데이터를 무효화하고, 쓰기 업데이트는 수정 내용을 모든 프로세서에 전파합니다.",컴퓨터 구조,"캐시 일관성,MESI,스누핑,디렉토리 기반,쓰기 무효화"
CS027,분기 예측,"분기 예측은 조건부 분기 명령어의 결과를 미리 예측하여 파이프라인 성능을 향상시키는 기술입니다. 정적 예측은 항상 같은 방향으로 예측하며(예: 항상 분기 발생), 동적 예측은 과거 분기 기록을 활용합니다. 1비트 예측기는 마지막 결과를 기억하고, 2비트 예측기는 두 번의 연속된 오예측이 있어야 예측 방향을 바꿉니다. 상관 예측기는 이전 분기들의 패턴을 고려하고, 토너먼트 예측기는 여러 예측기 중 가장 정확한 것을 선택합니다. 분기 타겟 버퍼(BTB)는 분기 목적지 주소를 캐싱하여 주소 계산 지연을 줄입니다.",컴퓨터 구조,"분기 예측,파이프라인,동적 예측,분기 타겟 버퍼,투기적 실행"
CS028,슈퍼스칼라 아키텍처,"슈퍼스칼라 아키텍처는 여러 명령어를 동시에 실행할 수 있는 CPU 설계입니다. 명령어 수준 병렬성(ILP)을 활용하여 성능을 향상시키며, 여러 개의 독립적인 파이프라인을 포함합니다. 동적 스케줄링으로 실행 순서를 재배치하여 의존성을 관리하고, 레지스터 리네이밍은 이름 의존성을 제거합니다. 투기적 실행은 분기 결과를 예측하여 미리 명령어를 실행하고, 예측이 틀리면 결과를 폐기합니다. 명령어 인출, 디코딩, 발행, 실행, 커밋 단계로 구성되며, 발행 폭은 동시에 발행할 수 있는 최대 명령어 수를 나타냅니다.",컴퓨터 구조,"슈퍼스칼라,ILP,동적 스케줄링,레지스터 리네이밍,투기적 실행"
CS029,메모리 대역폭과 지연시간,"메모리 대역폭은 단위 시간당 전송할 수 있는 데이터 양을 나타내고, 지연시간은 데이터 요청 후 첫 번째 바이트가 도착할 때까지 걸리는 시간입니다. 대역폭은 주로 대용량 데이터 전송에 중요하고, 지연시간은 작은 랜덤 액세스에 중요합니다. 메모리 인터리빙은 여러 메모리 뱅크를 번갈아 사용하여 대역폭을 향상시키고, 프리페치는 미리 데이터를 가져와 지연시간을 감소시킵니다. DDR(Double Data Rate) 메모리는 클럭 사이클당 두 번 데이터를 전송하여 대역폭을 높입니다. 메모리 컨트롤러는 CPU와 메모리 사이의 인터페이스로, 액세스를 조정하고 최적화합니다.",컴퓨터 구조,"메모리 대역폭,지연시간,인터리빙,프리페치,DDR"
CS030,저장장치 계층구조,"저장장치 계층구조는 속도, 비용, 용량을 기준으로 여러 저장 기술을 계층적으로 배치합니다. 레지스터는 가장 빠르지만 용량이 적고, 캐시(SRAM)는 그 다음으로 빠릅니다. 주 메모리(DRAM)는 휘발성이며 중간 정도의 속도와 용량을 제공합니다. SSD는 비휘발성 반도체 저장장치로 HDD보다 빠르지만 비용이 높고, HDD는 용량당 비용이 낮지만 기계적 한계로 속도가 느립니다. 테이프와 광학 미디어는 가장 저렴하고 느린 계층에 위치합니다. 계층 간 데이터 이동은 자동으로 이루어지며, 지역성 원리를 활용하여 효율적인 접근을 제공합니다.",컴퓨터 구조,"저장장치 계층,SRAM,DRAM,SSD,HDD"
CS031,컴퓨터 아키텍처 파이프라인,"컴퓨터 아키텍처에서 파이프라인은 CPU가 여러 명령어를 겹쳐서 처리하는 방식입니다. 기본적으로 인출(Fetch), 해독(Decode), 실행(Execute), 메모리 접근(Memory), 쓰기(Writeback) 단계로 구성됩니다. 각 단계는 동시에 다른 명령어를 처리하여 처리량을 높입니다. 데이터 의존성은 한 명령어가 이전 명령어의 결과를 필요로 하는 경우 발생하며, 전방향, 스톨, 재배치 등으로 해결합니다. 제어 의존성은 분기 명령어에서 발생하며, 분기 예측으로 해결합니다. 구조적 의존성은 같은 하드웨어 자원을 동시에 사용하려 할 때 발생하며, 리소스 복제로 해결할 수 있습니다.",컴퓨터 구조,"파이프라인,명령어 처리,데이터 의존성,제어 의존성,구조적 의존성"
CS032,멀티코어 프로세서,"멀티코어 프로세서는 하나의 칩에 여러 개의 독립적인 CPU 코어를 통합한 구조입니다. 각 코어는 독립적으로 명령어를 실행할 수 있어 병렬 처리가 가능합니다. 코어 간 캐시 일관성은 MESI나 MOESI 같은 프로토콜로 유지합니다. 코어 간 통신은 공유 캐시나 인터커넥트 네트워크를 통해 이루어집니다. 동종 멀티코어는 동일한 코어를 사용하고, 이종 멀티코어는 다른 유형의 코어를 조합하여 성능과 에너지 효율성을 최적화합니다. 멀티코어 확장성은 코어 수 증가에 따른 성능 향상의 한계를 의미하며, 암달의 법칙과 통신 오버헤드가 주요 제약 요소입니다.",컴퓨터 구조,"멀티코어,병렬 처리,캐시 일관성,인터커넥트,동종이종 멀티코어"
CS033,NUMA 아키텍처,"NUMA(Non-Uniform Memory Access)는 각 프로세서가 로컬 메모리와 원격 메모리에 접근할 수 있지만, 로컬 메모리 접근이 더 빠른 멀티프로세서 시스템 구조입니다. UMA(Uniform Memory Access)와 달리 메모리 접근 시간이 프로세서와 메모리 간의 거리에 따라 달라집니다. NUMA 노드는 프로세서와 로컬 메모리의 집합으로, 노드 간에는 인터커넥트로 연결됩니다. NUMA 인식 운영체제는 프로세스를 할당할 때 메모리 지역성을 고려하여 성능을 최적화합니다. NUMA 비율은 원격 접근 대비 로컬 접근의 속도 차이를 나타내며, 첫 터치 정책은 프로세스가 처음 사용하는 메모리를 로컬 노드에 할당합니다.",컴퓨터 구조,"NUMA,메모리 접근,지역성,NUMA 노드,인터커넥트"
CS034,GPU 아키텍처,"GPU(Graphics Processing Unit)는 대규모 병렬 처리에 최적화된 프로세서입니다. 수천 개의 간단한 코어로 구성되어 SIMT(Single Instruction, Multiple Threads) 방식으로 동작합니다. 렌더링 파이프라인은 정점 처리, 래스터화, 프래그먼트 처리 등의 단계로 그래픽을 처리합니다. CUDA(NVIDIA)와 OpenCL은 범용 컴퓨팅을 위한 GPU 프로그래밍 모델입니다. 메모리 계층은 레지스터, 공유 메모리, L1L2 캐시, 전역 메모리로 구성됩니다. 연산 유닛은 CUDA 코어(NVIDIA) 또는 스트림 프로세서(AMD)로 불리며, SM(Streaming Multiprocessor) 또는 CU(Compute Unit)로 그룹화됩니다. 텐서 코어와 RT 코어는 각각 AI와 레이 트레이싱을 가속화합니다.",컴퓨터 구조,"GPU,SIMT,CUDA,OpenCL,렌더링 파이프라인"
CS035,FPGA 기술,"FPGA(Field-Programmable Gate Array)는 프로그래밍 가능한 하드웨어로, 로직 블록, 메모리 블록, IO 블록, 인터커넥트로 구성됩니다. HDL(Hardware Description Language)인 VHDL이나 Verilog로 프로그래밍하며, 합성 도구가 이를 하드웨어 구성으로 변환합니다. ASIC보다 유연하지만 전력 효율과 성능은 낮습니다. LUT(Look-Up Table)는 논리 함수를 구현하는 기본 요소이고, CLB(Configurable Logic Block)는 여러 LUT와 플립플롭의 집합입니다. 하드웨어 가속, 프로토타이핑, 네트워킹 장비, AI 가속기 등에 활용됩니다. 부분 재구성은 일부만 재프로그래밍하여 운영 중단 없이 기능을 업데이트할 수 있는 기능입니다.",컴퓨터 구조,"FPGA,HDL,논리 블록,LUT,하드웨어 가속"
CS036,양자 컴퓨팅 기초,"양자 컴퓨팅은 양자역학 원리를 이용한 새로운 계산 패러다임입니다. 큐비트는 0, 1 또는 중첩 상태를 가지며, 양자 게이트는 큐비트를 조작합니다. 주요 게이트로는 Hadamard, CNOT, Pauli-XYZ, Toffoli 게이트가 있습니다. 얽힘은 여러 큐비트가 상호 의존적인 상태를 말하며, 중첩과 함께 양자 병렬성의 기반입니다. 오류 정정은 양자 상태의 불안정성을 보완하는 기술입니다. 주요 알고리즘으로는 소인수분해에 효율적인 쇼어 알고리즘, 비구조화된 검색에 유용한 그로버 알고리즘이 있습니다. NISQ(Noisy Intermediate-Scale Quantum) 장치는 현재의 불완전한 양자 컴퓨터를 일컫습니다.",컴퓨터 구조,"양자 컴퓨팅,큐비트,양자 게이트,얽힘,양자 알고리즘"
CS037,메모리 관리 장치(MMU),"MMU(Memory Management Unit)는 CPU와 메모리 사이에 위치하여 가상 주소를 물리 주소로 변환하는 하드웨어입니다. 페이지 테이블을 사용하여 주소 변환을 수행하며, TLB(Translation Lookaside Buffer)로 변환 속도를 높입니다. 보호 기능으로 메모리 접근 권한(읽기쓰기실행)을 제어하여 보안과 안정성을 보장합니다. 세그먼테이션은 논리적 단위로 메모리를 구분하며, 페이징과 함께 사용될 수 있습니다. 요구 페이징은 필요한 페이지만 메모리에 로드하여 효율적인 메모리 사용을 가능하게 합니다. MMU는 가상 메모리, 프로세스 격리, 메모리 보호, 캐시 제어 등 현대 컴퓨터 시스템의 핵심 기능을 제공합니다.",컴퓨터 구조,"MMU,주소 변환,TLB,페이지 테이블,메모리 보호"
CS038,컴퓨터 부팅 과정,"컴퓨터 부팅 과정은 전원이 켜지면 시작되는 일련의 단계입니다. 전원 공급 자체 테스트(POST)에서 하드웨어 정상 여부를 확인합니다. BIOSUEFI는 ROM에 저장된 펌웨어로, 시스템 초기화와 부트 장치 선택을 담당합니다. 부트로더(GRUB, NTLDR 등)는 운영체제 커널을 로드하고 실행합니다. 커널 초기화 과정에서 하드웨어 감지 및 드라이버 로드, 메모리 관리자 초기화가 이루어집니다. 마지막으로 init 프로세스(Linux)나 윈도우 세션 매니저가 시스템 서비스를 시작하고 사용자 인터페이스를 로드합니다. 보안 부팅은 서명된 소프트웨어만 실행하도록 하여 부팅 과정의 무결성을 보장합니다.",컴퓨터 구조,"부팅,POST,BIOS,UEFI,부트로더"
CS039,CISC와 RISC 프로세서 차이,"CISC(Complex Instruction Set Computer)와 RISC(Reduced Instruction Set Computer)는 서로 다른 CPU 설계 철학입니다. CISC는 다양하고 복잡한 명령어를 제공하며, 가변 길이 명령어, 다양한 주소 지정 모드, 메모리 접근 명령어가 특징입니다. 코드 크기가 작고 하드웨어가 복잡합니다. 반면 RISC는 단순하고 표준화된 명령어를 사용하며, 고정 길이 명령어, 적은 주소 지정 모드, 로드-스토어 아키텍처가 특징입니다. 레지스터를 많이 사용하고 파이프라이닝에 최적화되어 있습니다. x86은 CISC의 대표적 예이고, ARM, MIPS, RISC-V는 RISC 아키텍처입니다. 현대 프로세서는 두 접근 방식의 장점을 혼합하는 경향이 있습니다.",컴퓨터 구조,"CISC,RISC,명령어 집합,x86,ARM"
CS040,컴퓨터 클럭과 타이밍,"컴퓨터 클럭은 시스템 내 동작의 타이밍을 제어하는 전자 신호로, 클럭 속도(Hz)는 초당 사이클 수를 나타냅니다. 클럭 사이클은 하나의 기본 연산 단위이며, CPI(Cycles Per Instruction)는 명령어당 평균 사이클 수를 의미합니다. 클럭 동기화는 여러 구성 요소가 같은 클럭에 맞춰 동작하도록 하며, 비동기 설계는 각 모듈이 독립적인 속도로 동작합니다. 클럭 스큐는 신호가 다른 지점에 도달하는 시간 차이로, 타이밍 문제의 원인이 됩니다. 멀티페이즈 클럭은 하나의 사이클을 여러 단계로 나누어 복잡한 연산을 수행합니다. 오버클럭킹은 설계 사양보다 높은 클럭 속도로 작동시켜 성능을 높이는 기법입니다.",컴퓨터 구조,"클럭,클럭 사이클,CPI,클럭 스큐,오버클럭킹"
CS041,프로세스 스케줄링,"프로세스 스케줄링은 CPU를 여러 프로세스에 할당하는 방법을 결정하는 메커니즘입니다. 선점형 스케줄링은 실행 중인 프로세스를 중단할 수 있고, 비선점형은 프로세스가 자발적으로 CPU를 양보할 때까지 기다립니다. FCFS(First-Come-First-Served)는 도착한 순서대로 처리하고, SJF(Shortest Job First)는 실행 시간이 가장 짧은 프로세스를 우선 처리합니다. 라운드 로빈은 각 프로세스에 동일한 시간 할당량을 부여하고 순환하며, 우선순위 스케줄링은 각 프로세스에 우선순위를 부여합니다. 다단계 큐는 여러 우선순위 큐를 사용하고, 다단계 피드백 큐는 프로세스의 동작에 따라 우선순위를 조정합니다. 스케줄링 알고리즘은 CPU 사용률, 처리량, 대기 시간, 응답 시간, 공정성 등의 기준으로 평가됩니다.",운영체제,"프로세스 스케줄링,선점형,비선점형,라운드 로빈,우선순위"
CS042,페이지 교체 알고리즘,"페이지 교체 알고리즘은 가상 메모리 시스템에서 새로운 페이지를 위해 어떤 페이지를 디스크로 내보낼지 결정합니다. FIFO(First-In-First-Out)는 가장 오래된 페이지를 교체하고, LRU(Least Recently Used)는 가장 오랫동안 사용되지 않은 페이지를 선택합니다. LFU(Least Frequently Used)는 사용 빈도가 가장 낮은 페이지를, MRU(Most Recently Used)는 가장 최근에 사용된 페이지를 교체합니다. 클럭(Second Chance) 알고리즘은 LRU를 근사화한 효율적인 구현으로, 참조 비트를 사용합니다. 최적(OPT) 알고리즘은 가장 오랫동안 사용되지 않을 페이지를 교체하는 이론적 알고리즘으로, 실제로는 구현이 불가능하지만 성능 비교의 기준이 됩니다. 벨라디의 변칙(Belady's Anomaly)은 FIFO에서 프레임 수를 늘렸을 때 오히려 페이지 폴트가 증가하는 현상입니다.",운영체제,"페이지 교체,FIFO,LRU,클럭 알고리즘,최적 알고리즘"
CS043,세마포어와 뮤텍스,"세마포어와 뮤텍스는 병행 프로그래밍에서 동기화 문제를 해결하는 메커니즘입니다. 세마포어는 카운터 변수로, wait(P) 연산은 카운터를 감소시키고 신호(V) 연산은 증가시킵니다. 바이너리 세마포어는 0과 1 두 값만 가질 수 있고, 카운팅 세마포어는 여러 자원에 대한 접근을 제어합니다. 뮤텍스는 바이너리 세마포어의 특수한 형태로, 락을 획득한 스레드만이 해제할 수 있습니다. 세마포어는 여러 스레드 간 신호를 보내는 데 사용할 수 있지만, 뮤텍스는 상호 배제만을 위한 것입니다. 교착 상태는 두 스레드가 서로 보유한 자원을 기다리는 상황이며, 기아 상태는 스레드가 필요한 자원을 계속 획득하지 못하는 상황입니다. 우선순위 역전은 높은 우선순위 스레드가 낮은 우선순위 스레드가 보유한 자원을 기다리는 현상입니다.",운영체제,"세마포어,뮤텍스,동기화,교착 상태,우선순위 역전"
